HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459787.75540,2022-07-27.2500208,br,1.52,16.548,14.299,0.028,6.923,0.176,g
2459787.75664,2022-07-27.2512635,br,1.45,16.333,14.263,0.036,7.154,0.235,g
2459787.75789,2022-07-27.2525138,br,1.44,15.857,14.186,0.049,7.688,0.346,g
2459788.69794,2022-07-28.1925986,bF,1.56,16.497,14.234,0.027,7.349,0.186,g
2459788.69923,2022-07-28.1938870,bF,1.96,16.628,14.225,0.024,7.417,0.164,g
2459788.70052,2022-07-28.1951740,bF,1.99,16.530,14.313,0.028,6.839,0.180,g
2459788.73265,2022-07-28.2273128,bj,1.48,16.405,14.305,0.032,6.887,0.200,g
2459788.73390,2022-07-28.2285638,bj,1.57,16.458,14.287,0.030,7.003,0.191,g
2459788.73515,2022-07-28.2298082,bj,1.57,16.471,14.221,0.028,7.442,0.188,g
2459789.83241,2022-07-29.3271140,br,1.41,16.528,14.465,0.033,5.939,0.179,g
2459789.83364,2022-07-29.3283390,br,1.41,16.501,14.506,0.035,5.722,0.183,g
2459789.83488,2022-07-29.3295748,br,1.41,16.416,14.496,0.037,5.781,0.199,g
2459791.50573,2022-07-31.0005009,bj,2.18,16.347,14.214,0.031,7.489,0.213,g
2459791.50700,2022-07-31.0017638,bj,2.16,16.394,14.208,0.030,7.526,0.205,g
2459791.50823,2022-07-31.0030010,bj,2.15,16.300,14.239,0.033,7.314,0.223,g
2459794.69395,2022-08-03.1888615,bF,1.56,16.548,14.196,0.025,7.610,0.176,g
2459794.69524,2022-08-03.1901469,bF,1.58,16.597,14.183,0.024,7.707,0.169,g
2459794.69653,2022-08-03.1914346,bF,1.52,16.723,14.230,0.022,7.382,0.151,g
2459795.75387,2022-08-04.2488331,bj,2.00,16.361,14.300,0.033,6.918,0.208,g
2459795.75513,2022-08-04.2500842,bj,2.08,16.324,14.353,0.036,6.592,0.217,g
2459795.75635,2022-08-04.2513189,bj,2.07,16.341,14.322,0.034,6.778,0.214,g
2459796.68887,2022-08-05.1838704,bF,1.45,16.526,14.271,0.027,7.110,0.180,g
2459796.69016,2022-08-05.1851644,bF,1.49,16.569,14.224,0.025,7.418,0.173,g
2459796.69144,2022-08-05.1864511,bF,1.53,16.547,14.268,0.027,7.131,0.177,g
2459797.60259,2022-08-06.0976416,bj,1.47,16.268,14.358,0.038,6.561,0.227,g
2459797.60383,2022-08-06.0988848,bj,1.50,16.279,14.269,0.034,7.119,0.225,g
2459797.60508,2022-08-06.1001347,bj,1.52,16.217,14.333,0.039,6.714,0.238,g
2459807.31719,2022-08-15.8127960,bn,1.55,16.092,14.266,0.041,7.136,0.268,g
2459807.31844,2022-08-15.8140530,bn,1.53,16.119,14.223,0.038,7.428,0.262,g
2459807.31969,2022-08-15.8153042,bn,1.46,16.065,14.264,0.042,7.149,0.274,g
2459809.65222,2022-08-18.1479732,bj,1.55,16.460,14.329,0.031,6.735,0.190,g
2459809.65346,2022-08-18.1492144,bj,1.50,16.501,14.429,0.032,6.145,0.183,g
2459809.65470,2022-08-18.1504530,bj,1.49,16.477,14.379,0.032,6.428,0.187,g
2459810.65683,2022-08-19.1526615,bj,1.54,16.478,14.338,0.030,6.679,0.187,g
2459810.65806,2022-08-19.1538917,bj,1.44,16.470,14.294,0.029,6.957,0.189,g
2459810.65930,2022-08-19.1551287,bj,1.53,16.589,14.344,0.028,6.639,0.170,g
2459814.54073,2022-08-23.0368259,bj,1.52,16.490,14.359,0.031,6.555,0.185,g
2459814.54199,2022-08-23.0380791,bj,1.60,16.541,14.361,0.029,6.537,0.177,g
2459814.54324,2022-08-23.0393300,bj,1.59,16.538,14.357,0.029,6.562,0.177,g
2459818.68399,2022-08-27.1803969,bF,1.47,16.563,14.238,0.026,7.322,0.175,g
2459818.68529,2022-08-27.1816951,bF,1.55,16.486,14.318,0.030,6.807,0.187,g
2459818.68656,2022-08-27.1829776,bF,1.48,16.522,14.303,0.028,6.902,0.181,g
2459819.44857,2022-08-27.9450406,bn,1.61,16.302,14.297,0.034,6.937,0.221,g
2459819.44982,2022-08-27.9462918,bn,1.63,16.231,14.251,0.035,7.235,0.236,g
2459819.45105,2022-08-27.9475210,bn,1.59,16.208,14.324,0.039,6.771,0.241,g
2459820.55958,2022-08-29.0561310,bj,2.00,16.449,14.271,0.029,7.102,0.193,g
2459820.56082,2022-08-29.0573797,bj,2.08,16.454,14.403,0.033,6.293,0.192,g
2459820.56208,2022-08-29.0586224,bj,2.05,16.536,14.337,0.029,6.683,0.179,g
2459821.60919,2022-08-30.1058245,bF,1.43,16.601,14.186,0.024,7.685,0.169,g
2459821.61049,2022-08-30.1071312,bF,1.53,16.685,14.271,0.024,7.100,0.157,g
2459821.61178,2022-08-30.1084216,bF,1.52,16.602,14.221,0.024,7.440,0.169,g
2459830.41905,2022-09-07.9164244,bn,1.54,15.089,14.263,0.102,7.164,0.671,g
2459830.42030,2022-09-07.9176686,bn,1.56,15.335,14.385,0.091,6.401,0.536,g
2459830.42153,2022-09-07.9189047,bn,1.45,15.032,14.383,0.121,6.409,0.707,g
2459831.63603,2022-09-09.1335127,bF,1.52,15.695,14.297,0.061,6.935,0.384,g
2459831.63733,2022-09-09.1348112,bF,1.48,15.819,14.320,0.055,6.792,0.343,g
2459831.63861,2022-09-09.1360935,bF,1.47,15.704,14.365,0.064,6.518,0.381,g
2459833.51877,2022-09-11.0164172,bj,1.54,16.051,14.296,0.044,6.944,0.277,g
2459833.52002,2022-09-11.0176672,bj,1.56,15.958,14.315,0.048,6.825,0.301,g
2459833.52127,2022-09-11.0189184,bj,1.52,15.995,14.224,0.043,7.421,0.291,g
2459836.62308,2022-09-14.1210041,bF,1.50,16.112,14.298,0.041,6.932,0.262,g
2459836.62437,2022-09-14.1222931,bF,1.53,16.101,14.285,0.041,7.014,0.265,g
2459836.62568,2022-09-14.1236057,bF,1.51,16.271,14.248,0.034,7.257,0.227,g
2459839.71489,2022-09-17.2130945,br,1.47,16.426,14.503,0.037,5.738,0.197,g
2459839.71610,2022-09-17.2143129,br,1.52,16.480,14.478,0.035,5.870,0.187,g
2459839.71734,2022-09-17.2155488,br,1.40,16.444,14.495,0.036,5.781,0.193,g
2459840.69539,2022-09-18.1936881,br,1.40,16.459,14.304,0.030,6.891,0.191,g
2459840.69662,2022-09-18.1949172,br,1.43,16.415,14.347,0.033,6.623,0.199,g
2459840.69788,2022-09-18.1961754,br,1.50,16.536,14.336,0.029,6.689,0.178,g
2459842.31307,2022-09-19.8115255,bn,1.47,16.203,14.354,0.040,6.586,0.242,g
2459842.31431,2022-09-19.8127673,bn,1.46,16.150,14.381,0.043,6.423,0.255,g
2459842.31556,2022-09-19.8140127,bn,1.44,16.293,14.365,0.037,6.520,0.223,g
2459843.66064,2022-09-21.1592218,br,1.42,16.600,14.357,0.028,6.569,0.167,g
2459843.66188,2022-09-21.1604565,br,1.46,16.526,14.372,0.030,6.479,0.180,g
2459843.66311,2022-09-21.1616890,br,1.49,16.636,14.337,0.026,6.684,0.162,g
2459844.66731,2022-09-22.1659804,br,1.40,16.499,14.457,0.033,5.987,0.185,g
2459844.66854,2022-09-22.1672114,br,1.48,16.505,14.453,0.033,6.011,0.183,g
2459844.66977,2022-09-22.1684451,br,1.43,16.520,14.420,0.032,6.198,0.181,g
2459848.36093,2022-09-25.8599603,bn,1.54,99.990,99.990,99.990,99.990,99.990,g
2459849.50797,2022-09-27.0071115,bF,1.53,16.212,14.254,0.036,7.215,0.241,g
2459849.50926,2022-09-27.0084025,bF,1.51,16.202,14.255,0.037,7.213,0.246,g
2459849.51054,2022-09-27.0096869,bF,1.48,16.161,14.215,0.036,7.488,0.252,g
2459850.60688,2022-09-28.1061291,bj,1.51,16.359,14.480,0.039,5.863,0.209,g
2459850.60812,2022-09-28.1073723,bj,1.98,16.348,14.373,0.035,6.470,0.212,g
2459850.60936,2022-09-28.1086106,bj,2.00,16.334,14.344,0.035,6.644,0.214,g
2459851.56552,2022-09-29.0648576,bj,1.48,16.510,14.368,0.030,6.496,0.182,g
2459851.56677,2022-09-29.0661089,bj,1.56,16.320,14.353,0.036,6.591,0.217,g
2459851.56800,2022-09-29.0673391,bj,1.61,16.493,14.380,0.031,6.427,0.186,g
2459852.55004,2022-09-30.0494690,bj,1.96,16.428,14.327,0.032,6.745,0.197,g
2459852.55126,2022-09-30.0507083,bj,1.61,16.433,14.320,0.031,6.798,0.195,g
2459852.55250,2022-09-30.0519406,bj,1.57,16.320,14.359,0.036,6.555,0.217,g
2459853.54263,2022-10-01.0421697,bj,1.50,16.377,14.390,0.035,6.370,0.205,g
2459853.54388,2022-10-01.0434211,bj,1.55,16.307,14.335,0.036,6.702,0.218,g
2459853.54512,2022-10-01.0446571,bj,1.55,16.443,14.404,0.033,6.287,0.193,g
2459854.33899,2022-10-01.8385960,bn,1.53,15.863,14.352,0.054,6.597,0.330,g
2459854.34023,2022-10-01.8398359,bn,1.55,15.959,14.341,0.049,6.660,0.303,g
2459854.34147,2022-10-01.8410803,bn,1.53,15.868,14.363,0.055,6.527,0.328,g
2459858.25444,2022-10-05.7544403,bn,1.53,14.877,14.078,0.105,8.486,0.815,g
2459858.25588,2022-10-05.7558778,bn,1.44,15.597,14.222,0.062,7.434,0.421,g
2459858.25739,2022-10-05.7573811,bn,1.57,15.739,14.263,0.056,7.156,0.369,g
2459858.56141,2022-10-06.0614328,bj,1.49,15.873,14.348,0.054,6.622,0.326,g
2459858.56266,2022-10-06.0626872,bj,1.55,15.841,14.366,0.056,6.514,0.336,g
2459858.56390,2022-10-06.0639240,bj,1.51,15.711,14.218,0.055,7.460,0.378,g
2459859.55575,2022-10-07.0558766,bj,1.50,15.803,14.270,0.053,7.111,0.347,g
2459859.55700,2022-10-07.0571206,bj,1.50,15.936,14.468,0.057,5.926,0.307,g
2459859.55825,2022-10-07.0583740,bj,1.50,15.727,14.378,0.063,6.434,0.373,g
2459864.56680,2022-10-12.0674093,bF,1.47,16.042,14.310,0.044,6.855,0.280,g
2459864.56808,2022-10-12.0686936,bF,1.47,16.085,14.369,0.045,6.497,0.269,g
2459864.56936,2022-10-12.0699753,bF,1.50,16.051,14.224,0.041,7.415,0.278,g
2459865.64574,2022-10-13.1464585,br,1.39,15.975,14.986,0.089,3.681,0.301,g
